osm_tactile_writing_58_embossed_printed_letters_58_de;
osm_healthcare_58_speciality_58_de;keep
osm_healthcare_58_speciality_58_de_2;keep
osm_disused_58_leisure;
osm_smoking_58_outside;
osm_bed_and_bike;
osm_beds;
osm_blind;
osm_rooms;
osm_diet_58_pescetarian;
osm_award_58_hotelstars;
osm_pets;keep
osm_service_58_bicycle_58_rental;
osm_guest_house;
osm_thermometer;
osm_proposed;
osm_VRR_58_gemeinde;
osm_VRR_58_ortsteil;
osm_recycling;keep
osm_VRR_58_ref;
osm_disused_58_natural;
osm_passeger_information_display;
osm_whitewater;keep
osm_whitewater_58_egress;
osm_whitewater_58_put_in;
osm_faces;
osm_historic_58_railway;
osm_health_specialty_58_ophthalmology;
osm_seamark_58_signal_station_traffic_58_category;
osm_seamark_58_signal_station_traffic_58_impact;
osm_seamark_58_signal_station_traffic_58_name;
osm_seamark_58_mooring_58_category;
osm_seamark_58_notice_58_1_58_category;
osm_seamark_58_notice_58_1_58_function;
osm_seamark_58_notice_58_1_58_impact;
osm_seamark_58_notice_58_2_58_addition;
osm_seamark_58_notice_58_2_58_category;
osm_seamark_58_notice_58_2_58_function;
osm_seamark_58_notice_58_2_58_impact;
osm_seamark_58_notice_58_2_58_information;
osm_seamark_58_notice_58_2_58_national_information;
osm_seamark_58_notice_58_1_58_information;
osm_seamark_58_notice_58_distance_up;
osm_seamark_58_notice_58_national_information;
osm_Zigarettenautomat;keep
osm_content;
osm_source_ref;
osm_abandoned_58_harbour;
osm_layer2;
