"file_in";"ObjAB";"ObjAG";"ObjAGN";"ObjArt";"ObjArtN";"Geometrie";"Feld_in";"Quelle";"Dateiname_out";"Feld_out";"Wert_out";"Prioritaet";"Out_ID1"
"Veranstaltungsort.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_021";"Veranstaltungsort";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_Gebaeude.shp";"GFK";"3036";3;"OldID_str"
"Windkraftanlage.shp";"UmweltVersorgung";1100;"UmweltVersorgung";"1100_009";"Windkraftanlage";"Point";"nurGeometrie";"ATKIS/ALKIS";"AX_BauwerkOderAnlageFuerIndustrieUndGewerbe.shp";"BWF";"1220";3;"OldID_str"
"LiniennetzOePNV.shp";"Netzwerke";9000;"Netzwerke";"9000_006";"LiniennetzOePNV";"Line";"nurGeometrie";"Stadtplanwerke";"nahv_gr_line.shp";"";"";2;"OldID_str"
"LiniennetzOePNV.shp";"Netzwerke";9000;"Netzwerke";"9000_006";"LiniennetzOePNV";"Line";"ObjArt";"Stadtplanwerke";"nahv_gr_line.shp";"FTYPE";"";2;"OldID_str"
"LiniennetzOePNV.shp";"Netzwerke";9000;"Netzwerke";"9000_006";"LiniennetzOePNV";"Line";"nurGeometrie";"Stadtplanwerke";"bahn_gr_line.shp";"";"";2;"OldID_str"
"LiniennetzOePNV.shp";"Netzwerke";9000;"Netzwerke";"9000_006";"LiniennetzOePNV";"Line";"ObjArt";"Stadtplanwerke";"bahn_gr_line.shp";"FTYPE";"";2;"OldID_str"
"Museum.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_010";"Museum";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"473";2;"OldID_str"
"Museum.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_010";"Museum";"Point";"nurGeometrie";"Stadtplanwerke";"sign_gr_point.shp";"LEVELNR";"259";2;"OldID_str"
"Museum.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_010";"Museum";"Point";"Spezi";"Stadtplanwerke";"sign_gr_point.shp";"FTYPE";"";2;"OldID_str"
"Park.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_011";"Park";"Point";"nurGeometrie";"Stadtplanwerke";"fla_gr_poly.shp";"LEVELNR";"550";2;"OldID_str"
"PKWParkplatz.shp";"POI";5000;"Mobilitaet";"5000_004";"PKWParkplatz";"Point";"nurGeometrie";"Stadtplanwerke";"sign_gr_point.shp";"LEVELNR";"581";2;"OldID_str"
"PKWParkplatz.shp";"POI";5000;"Mobilitaet";"5000_004";"PKWParkplatz";"Point";"Spezi";"Stadtplanwerke";"sign_gr_point.shp";"FTYPE";"";2;"OldID_str"
"PKWParkplatz.shp";"POI";5000;"Mobilitaet";"5000_004";"PKWParkplatz";"Point";"nurGeometrie";"Stadtplanwerke";"sign_gr_point.shp";"LEVELNR";"589";2;"OldID_str"
"PKWParkplatz.shp";"POI";5000;"Mobilitaet";"5000_004";"PKWParkplatz";"Point";"nurGeometrie";"Stadtplanwerke";"sign_gr_point.shp";"LEVELNR";"582";2;"OldID_str"
"PKWParkplatz.shp";"POI";5000;"Mobilitaet";"5000_004";"PKWParkplatz";"Point";"nurGeometrie";"Stadtplanwerke";"sign_gr_point.shp";"LEVELNR";"587";2;"OldID_str"
"PKWParkplatz.shp";"POI";5000;"Mobilitaet";"5000_004";"PKWParkplatz";"Point";"nurGeometrie";"Stadtplanwerke";"sign_gr_point.shp";"LEVELNR";"588";2;"OldID_str"
"Polizei.shp";"POI";1000;"Grundversorgung";"1000_004";"Polizei";"Point";"nurGeometrie";"Stadtplanwerke";"sign_gr_point.shp";"LEVELNR";"591";2;"OldID_str"
"Polizei.shp";"POI";1000;"Grundversorgung";"1000_004";"Polizei";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"479";2;"OldID_str"
"Post.shp";"POI";7000;"EinkaufenDienstleistung";"7000_007";"Post";"Point";"nurGeometrie";"Stadtplanwerke";"sign_gr_point.shp";"LEVELNR";"604";2;"OldID_str"
"Post.shp";"POI";7000;"EinkaufenDienstleistung";"7000_007";"Post";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"457";2;"OldID_str"
"Rathaus.shp";"POI";1000;"Grundversorgung";"1000_005";"Rathaus";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"455";2;"OldID_str"
"Schutzgebiet.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_024";"Schutzgebiet";"Point";"nurGeometrie";"Stadtplanwerke";"grz_gr_line.shp";"LEVELNR";"625";2;"OldID_str"
"Schutzgebiet.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_024";"Schutzgebiet";"Point";"nurGeometrie";"Stadtplanwerke";"grz_ag_point.shp";"";"";2;"OldID_str"
"SchwimmbadBadestelle.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_013";"SchwimmbadBadestelle";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"381";2;"OldID_str"
"SchwimmbadBadestelle.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_013";"SchwimmbadBadestelle";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"495";2;"OldID_str"
"SchwimmbadBadestelle.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_013";"SchwimmbadBadestelle";"Point";"Spezi";"Stadtplanwerke";"bau_gr_poly.shp";"FTYPE";"";2;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"513";2;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"518";2;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"514";2;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"512";2;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"516";2;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"519";2;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"493";2;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"nurGeometrie";"Stadtplanwerke";"bau_gr_poly.shp";"LEVELNR";"515";2;"OldID_str"
"Sportstaette.shp";"POI";6000;"UnterhaltungSportNaherholung";"6000_017";"Sportstaette";"Point";"Spezi";"Stadtplanwerke";"bau_gr_poly.shp";"FTYPE";"";2;"OldID_str"
"StehendeGewaesser.shp";"UmweltVersorgung";1100;"UmweltVersorgung";"1100_011";"StehendeGewaesser";"Polygon";"nurGeometrie";"Stadtplanwerke";"gew_gr_poly.shp";"";"";2;"OldID_str"
"StehendeGewaesser.shp";"UmweltVersorgung";1100;"UmweltVersorgung";"1100_011";"StehendeGewaesser";"Polygon";"Spezi";"Stadtplanwerke";"gew_gr_poly.shp";"FTYPE";"";2;"OldID_str"
"Strassennetz.shp";"Netzwerke";9000;"Netzwerke";"9000_007";"Strassennetz";"Line";"nurGeometrie";"Stadtplanwerke";"str_gr_line.shp";"";"";2;"OldID_str"
"Strassennetz.shp";"Netzwerke";9000;"Netzwerke";"9000_007";"Strassennetz";"Line";"ObjArt";"Stadtplanwerke";"str_gr_line.shp";"FTYPE";"";2;"OldID_str"
